,name,juristicid,year,accountreceivable,accountpayable,totalnoncurrentliability,totalliability,totalcurrentliability,totalcurrentasset,totalasset,totalexpense,cashandcashequivalent,otherincome,totalrevenue,netprofitloss,pct_accountreceivable,pct_accountpayable,pct_totalnoncurrentliability,pct_totalliability,pct_totalcurrentliability,pct_totalcurrentasset,pct_totalasset,pct_totalexpense,pct_cashandcashequivalent,pct_otherincome,pct_totalrevenue,pct_netprofitloss
155,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2018-12-31,1909869000,812316000,152062600000,194240200000,42177520000,138602600000,289921600000,7205467000,14128410000,33886410000,33886410000,24455530000,-17.56179404746695,-58.763361793481764,22.93261134766795,9.307258086753546,-21.9008864344714,3.125706836823361,6.732795082778931,103.57123585017338,-11.107412953478713,1497.8352202266158,7.41788112345203,-3.0556913261797103
156,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2019-12-31,1578049000,860823000,127510800000,186298900000,58788130000,137573600000,282990700000,6566138000,11691160000,29174000000,29174000000,20874800000,-17.37396648670668,5.971444610225585,-16.145850458955724,-4.088391589382634,39.38261424569296,-0.7424103155352024,-2.390611806778109,-8.872832253620755,-17.250702662224548,-13.9064893566477,-13.9064893566477,-14.64180085240434
157,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2020-12-31,1582321000,748996000,128548900000,186027700000,57478790000,136400500000,292305200000,5862659000,10916020000,21799770000,29629840000,18347960000,0.27071402725771243,-12.990707729695883,0.8141271170755804,-0.1455725181415457,-2.22721831771141,-0.8527072054522078,3.291450920471939,-10.713740710292718,-6.630137642458067,-25.276718996366633,1.5624871460889755,-12.104738728035713
158,บมจ.บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2021-12-31,3259302000,807821000,128491100000,177130700000,89447470000,129468100000,359824500000,5852526000,5342977000,95019710000,107014300000,95887080000,105.98235124225744,7.853847016539484,-0.04496343414840398,-4.78262108277423,55.61822021653553,-5.082386061634669,23.098904843293933,-0.1728396620031991,-51.05379982814249,335.87482803717654,261.1706981880429,422.6034937944055
159,บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน),107537000114,2022-12-31,1811907000,821499000,118026500000,151568400000,33541880000,116137300000,344715800000,5871357000,22211970000,30838920000,40639210000,30254750000,-44.40812787523218,1.6931968839631661,-8.14422166204507,-14.43132105275935,-62.50102993410545,-10.296590434245967,-4.198908078799524,0.3217585022262215,315.722732850993,-67.54471256542458,-62.02450513622946,-68.44752181420061
160,บมจ.เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),107537000246,2013-12-31,4719747000,1905323000,67889400000,81728820000,13839410000,32700200000,158611800000,34032530000,1395703000,18227920000,44348880000,6873798000,,,,,,,,,,,,
161,บมจ.เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),107537000246,2014-12-31,8464824000,1861426000,62416010000,73353660000,10937640000,47725150000,154913800000,33365230000,13696270000,17900400000,44798720000,8935807000,79.34910494143013,-2.3039138245851243,-8.062215898210912,-10.247498985058145,-20.967440085957424,45.947578302273385,-2.3314784902510377,-1.9607710622748242,881.3169420714866,-1.7968040237174576,1.0143209929991404,29.998102941052384
162,บมจ.เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),107537000246,2015-12-31,10229530000,1925551000,74764240000,111638100000,36873850000,68167450000,198727000000,28803470000,17399510000,18545020000,43220540000,11274210000,20.847521460576136,3.444939524858892,19.783754200244452,52.191587986202734,237.12802761838935,42.83339078033279,28.28230925843922,-13.672197074619296,27.038310430504065,3.601148577685409,-3.5228238663961853,26.168906736683105
163,บมจ.เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),107537000246,2016-12-31,3750815000,1524134000,74531140000,107625700000,33094520000,52683000000,200370500000,31006940000,9067360000,17390620000,47096080000,11004320000,-63.33345715785575,-20.846864092407834,-0.311780070258183,-3.594113479179595,-10.24935014922499,-22.715313540406747,0.8270139437519752,7.650015779348807,-47.88726808973356,-6.2248517391731095,8.966893981426427,-2.393870612663773
164,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),107537000246,2018-12-31,3050636000,18449910000,97067240000,125870300000,28803070000,76027990000,266898200000,28391220000,4405856000,21595270000,47616280000,13896710000,-18.667382955437684,1110.517579162987,30.23715993073499,16.951899035267594,-12.967252584415789,44.312187992331495,33.20234266022193,-8.43591789451007,-51.40971572762083,24.17768889205789,1.1045505273475031,26.284132049958565
